,sentence_id,filename,token,label,attribute
0,0,1788_Brug_Wall,﻿Merckenweerdigste,O,
1,0,1788_Brug_Wall,voorvallen,O,
2,0,1788_Brug_Wall,en,O,
3,0,1788_Brug_Wall,daegelijcksche,O,
4,0,1788_Brug_Wall,gevallen,O,
5,0,1788_Brug_Wall,.,O,
6,0,1788_Brug_Wall,Brugge,O,
7,0,1788_Brug_Wall,1788,O,
8,2,1788_Brug_Wall,Jozef,O,
9,2,1788_Brug_Wall,van,O,
10,2,1788_Brug_Wall,Walleghem,O,
11,4,1788_Brug_Wall,Editie,O,
12,4,1788_Brug_Wall,Martine,O,
13,4,1788_Brug_Wall,Secelle,O,
14,4,1788_Brug_Wall,",",O,
15,4,1788_Brug_Wall,Helena,O,
16,4,1788_Brug_Wall,Debou,O,
17,4,1788_Brug_Wall,",",O,
18,4,1788_Brug_Wall,Ronald,O,
19,4,1788_Brug_Wall,Engelrelst,O,
20,4,1788_Brug_Wall,en,O,
21,4,1788_Brug_Wall,Yvan,O,
22,4,1788_Brug_Wall,vanden,O,
23,4,1788_Brug_Wall,Berghe,O,
24,19,1788_Brug_Wall,bron,O,
25,20,1788_Brug_Wall,Jozef,O,
26,20,1788_Brug_Wall,van,O,
27,20,1788_Brug_Wall,Walleghem,O,
28,20,1788_Brug_Wall,",",O,
29,20,1788_Brug_Wall,Merckenweerdigste,O,
30,20,1788_Brug_Wall,voorvallen,O,
31,20,1788_Brug_Wall,en,O,
32,20,1788_Brug_Wall,daegelijcksche,O,
33,20,1788_Brug_Wall,gevallen,O,
34,20,1788_Brug_Wall,.,O,
35,20,1788_Brug_Wall,Brugge,O,
36,20,1788_Brug_Wall,1788,O,
37,20,1788_Brug_Wall,(,O,
38,20,1788_Brug_Wall,eds,O,
39,20,1788_Brug_Wall,.,O,
40,20,1788_Brug_Wall,Martine,O,
41,20,1788_Brug_Wall,Secelle,O,
42,20,1788_Brug_Wall,",",O,
43,20,1788_Brug_Wall,Helena,O,
44,20,1788_Brug_Wall,Debou,O,
45,20,1788_Brug_Wall,",",O,
46,20,1788_Brug_Wall,Ronald,O,
47,20,1788_Brug_Wall,Engelrelst,O,
48,20,1788_Brug_Wall,en,O,
49,20,1788_Brug_Wall,Yvan,O,
50,20,1788_Brug_Wall,vanden,O,
51,20,1788_Brug_Wall,Berghe,O,
52,20,1788_Brug_Wall,),O,
53,20,1788_Brug_Wall,.,O,
54,20,1788_Brug_Wall,Gemeentebestuur,O,
55,20,1788_Brug_Wall,",",O,
56,20,1788_Brug_Wall,Brugge,O,
57,20,1788_Brug_Wall,1984,O,
58,23,1788_Brug_Wall,Zie,O,
59,23,1788_Brug_Wall,voor,O,
60,23,1788_Brug_Wall,verantwoording,O,
61,23,1788_Brug_Wall,:,O,
62,23,1788_Brug_Wall,http,O,
63,23,1788_Brug_Wall,:,O,
64,23,1788_Brug_Wall,//www.dbnl.org/tekst/wall076merc02_01/colofon.php,O,
65,27,1788_Brug_Wall,©,O,
66,27,1788_Brug_Wall,2015,O,
67,27,1788_Brug_Wall,dbnl,O,
68,27,1788_Brug_Wall,/,O,
69,27,1788_Brug_Wall,Martine,O,
70,27,1788_Brug_Wall,Secelle,O,
71,27,1788_Brug_Wall,/,O,
72,27,1788_Brug_Wall,Helena,O,
73,27,1788_Brug_Wall,Debou,O,
74,27,1788_Brug_Wall,/,O,
75,27,1788_Brug_Wall,Ronald,O,
76,27,1788_Brug_Wall,Engelrelst,O,
77,27,1788_Brug_Wall,/,O,
78,27,1788_Brug_Wall,Yvan,O,
79,27,1788_Brug_Wall,vanden,O,
80,27,1788_Brug_Wall,Berghe,O,
81,33,1788_Brug_Wall,Merckenweerdigste,O,
82,33,1788_Brug_Wall,voorvallen,O,
83,33,1788_Brug_Wall,1788,O,
84,35,1788_Brug_Wall,9,O,
85,37,1788_Brug_Wall,[,O,
86,37,1788_Brug_Wall,Vervolg,O,
87,37,1788_Brug_Wall,van,O,
88,37,1788_Brug_Wall,het,O,
89,37,1788_Brug_Wall,dertiende,O,
90,37,1788_Brug_Wall,deel,O,
91,37,1788_Brug_Wall,],O,
92,38,1788_Brug_Wall,Begin,O,
93,38,1788_Brug_Wall,van,O,
94,38,1788_Brug_Wall,'t,O,
95,38,1788_Brug_Wall,schrikkeljaer,O,
96,38,1788_Brug_Wall,ons,O,
97,38,1788_Brug_Wall,heeren,O,
98,38,1788_Brug_Wall,Jesu,O,
99,38,1788_Brug_Wall,Christi,O,
100,38,1788_Brug_Wall,1788,O,
101,38,1788_Brug_Wall,Jaerschrift,O,
102,39,1788_Brug_Wall,nU,O,
103,39,1788_Brug_Wall,begInt,O,
104,39,1788_Brug_Wall,hIer,O,
105,39,1788_Brug_Wall,het,O,
106,39,1788_Brug_Wall,sChrIkkeLIaer,O,
107,39,1788_Brug_Wall,",",O,
108,39,1788_Brug_Wall,I,O,
109,39,1788_Brug_Wall,n't,O,
110,39,1788_Brug_Wall,VerVoLg,O,
111,39,1788_Brug_Wall,Van,O,
112,39,1788_Brug_Wall,'t,O,
113,39,1788_Brug_Wall,DertIenste,O,
114,39,1788_Brug_Wall,DeeL,O,
115,39,1788_Brug_Wall,en,O,
116,39,1788_Brug_Wall,Van,O,
117,39,1788_Brug_Wall,'t,O,
118,39,1788_Brug_Wall,seVenhonDert,O,
119,39,1788_Brug_Wall,en,O,
120,39,1788_Brug_Wall,agtentagentIgste,O,
121,39,1788_Brug_Wall,Iaer,O,
122,39,1788_Brug_Wall,.,O,
123,40,1788_Brug_Wall,(,O,
124,40,1788_Brug_Wall,Januari,O,
125,40,1788_Brug_Wall,),O,
126,41,1788_Brug_Wall,Vijfde,O,
127,41,1788_Brug_Wall,treckinge,O,
128,41,1788_Brug_Wall,der,O,
129,41,1788_Brug_Wall,loterij,O,
130,41,1788_Brug_Wall,in,O,
131,41,1788_Brug_Wall,classen,O,
132,41,1788_Brug_Wall,tot,O,
133,41,1788_Brug_Wall,Brussel,O,
134,41,1788_Brug_Wall,gehouden,O,
135,41,1788_Brug_Wall,",",O,
136,41,1788_Brug_Wall,begonst,O,
137,41,1788_Brug_Wall,den,O,
138,41,1788_Brug_Wall,31,O,
139,41,1788_Brug_Wall,december,O,
140,41,1788_Brug_Wall,1787,O,
141,41,1788_Brug_Wall,.,O,
142,42,1788_Brug_Wall,-,O,
143,42,1788_Brug_Wall,fol,O,
144,42,1788_Brug_Wall,.,O,
145,42,1788_Brug_Wall,435,O,
146,42,1788_Brug_Wall,-,O,
147,42,1788_Brug_Wall,Op,O,
148,42,1788_Brug_Wall,den,O,
149,42,1788_Brug_Wall,2,O,
150,42,1788_Brug_Wall,en,O,
151,42,1788_Brug_Wall,3,O,
152,42,1788_Brug_Wall,januarij,O,
153,42,1788_Brug_Wall,is,O,
154,42,1788_Brug_Wall,binnen,O,
155,42,1788_Brug_Wall,de,O,
156,42,1788_Brug_Wall,stadt,O,
157,42,1788_Brug_Wall,Brussel,O,
158,42,1788_Brug_Wall,op,O,
159,42,1788_Brug_Wall,de,O,
160,42,1788_Brug_Wall,groote,O,
161,42,1788_Brug_Wall,saele,O,
162,42,1788_Brug_Wall,van,O,
163,42,1788_Brug_Wall,het,O,
164,42,1788_Brug_Wall,Stadthuijs,O,
165,42,1788_Brug_Wall,vervolgt,O,
166,42,1788_Brug_Wall,de,O,
167,42,1788_Brug_Wall,vijfde,O,
168,42,1788_Brug_Wall,treckinge,O,
169,42,1788_Brug_Wall,van,O,
170,42,1788_Brug_Wall,de,O,
171,42,1788_Brug_Wall,loterij,O,
172,42,1788_Brug_Wall,(,O,
173,42,1788_Brug_Wall,1,O,
174,42,1788_Brug_Wall,),O,
175,42,1788_Brug_Wall,in,O,
176,42,1788_Brug_Wall,ses,O,
177,42,1788_Brug_Wall,classen,O,
178,42,1788_Brug_Wall,",",O,
179,42,1788_Brug_Wall,begonst,O,
180,42,1788_Brug_Wall,als,O,
181,42,1788_Brug_Wall,hiervooren,O,
182,42,1788_Brug_Wall,fol,O,
183,42,1788_Brug_Wall,.,O,
184,42,1788_Brug_Wall,434,O,
185,42,1788_Brug_Wall,;,O,
186,42,1788_Brug_Wall,ingestelt,O,
187,42,1788_Brug_Wall,bij,O,
188,42,1788_Brug_Wall,opene,O,
189,42,1788_Brug_Wall,brieven,informatiebron-B,
190,42,1788_Brug_Wall,van,O,
191,42,1788_Brug_Wall,Zijne,O,
192,42,1788_Brug_Wall,Majesteijt,O,
193,42,1788_Brug_Wall,den,O,
194,42,1788_Brug_Wall,keijser,O,
195,42,1788_Brug_Wall,ende,O,
196,42,1788_Brug_Wall,koning,O,
197,42,1788_Brug_Wall,van,O,
198,42,1788_Brug_Wall,den,O,
199,42,1788_Brug_Wall,5,O,
200,42,1788_Brug_Wall,september,O,
201,42,1788_Brug_Wall,1785,O,
202,42,1788_Brug_Wall,ter,O,
203,42,1788_Brug_Wall,presentie,O,
204,42,1788_Brug_Wall,van,O,
205,42,1788_Brug_Wall,den,O,
206,42,1788_Brug_Wall,keijserlijcken,O,
207,42,1788_Brug_Wall,en,O,
208,42,1788_Brug_Wall,koninglijcken,O,
209,42,1788_Brug_Wall,commisaris,O,
210,42,1788_Brug_Wall,en,O,
211,42,1788_Brug_Wall,van,O,
212,42,1788_Brug_Wall,twee,O,
213,42,1788_Brug_Wall,heeren,O,
214,42,1788_Brug_Wall,schepenen,O,
215,42,1788_Brug_Wall,der,O,
216,42,1788_Brug_Wall,stadt,O,
217,42,1788_Brug_Wall,Brussel,O,
218,42,1788_Brug_Wall,.,O,
219,42,1788_Brug_Wall,-,O,
220,42,1788_Brug_Wall,fol,O,
221,42,1788_Brug_Wall,.,O,
222,42,1788_Brug_Wall,436,O,
223,42,1788_Brug_Wall,/,O,
224,42,1788_Brug_Wall,fol,O,
225,42,1788_Brug_Wall,.,O,
226,42,1788_Brug_Wall,439,O,
227,42,1788_Brug_Wall,-,O,
228,44,1788_Brug_Wall,D'heer,O,
229,44,1788_Brug_Wall,Wallewijn,O,
230,44,1788_Brug_Wall,wordt,O,
231,44,1788_Brug_Wall,ingedaegt,O,
232,44,1788_Brug_Wall,.,O,
233,46,1788_Brug_Wall,Op,O,
234,46,1788_Brug_Wall,den,O,
235,46,1788_Brug_Wall,10,O,
236,46,1788_Brug_Wall,januarij,O,
237,46,1788_Brug_Wall,saeg,waarneming-B,Gezien
238,46,1788_Brug_Wall,men,ontvanger-B,
239,46,1788_Brug_Wall,binnen,O,
240,46,1788_Brug_Wall,dese,O,
241,46,1788_Brug_Wall,stadt,O,
242,46,1788_Brug_Wall,Brugge,O,
243,46,1788_Brug_Wall,aen,O,
244,46,1788_Brug_Wall,alle,O,
245,46,1788_Brug_Wall,de,O,
246,46,1788_Brug_Wall,hoeken,O,
247,46,1788_Brug_Wall,der,O,
248,46,1788_Brug_Wall,straeten,O,
249,46,1788_Brug_Wall,aengeplakt,waarneming-B,Geschreven / Gelezen
250,46,1788_Brug_Wall,eene,O,
251,46,1788_Brug_Wall,bekentmaekinge,informatiebron-B,
252,46,1788_Brug_Wall,waerbij,O,
253,46,1788_Brug_Wall,d'heer,O,
254,46,1788_Brug_Wall,Charles,O,
255,46,1788_Brug_Wall,Wallewijn,O,
256,46,1788_Brug_Wall,(,O,
257,46,1788_Brug_Wall,2,O,
258,46,1788_Brug_Wall,),O,
259,46,1788_Brug_Wall,",",O,
260,46,1788_Brug_Wall,van,O,
261,46,1788_Brug_Wall,welcken,O,
262,46,1788_Brug_Wall,hiervooren,O,
263,46,1788_Brug_Wall,fol,O,
264,46,1788_Brug_Wall,.,O,
265,46,1788_Brug_Wall,426,O,
266,46,1788_Brug_Wall,breeder,O,
267,46,1788_Brug_Wall,verhandelt,O,
268,46,1788_Brug_Wall,is,O,
269,46,1788_Brug_Wall,",",O,
270,46,1788_Brug_Wall,gewesen,O,
271,46,1788_Brug_Wall,tresorier,O,
272,46,1788_Brug_Wall,van,O,
273,46,1788_Brug_Wall,de,O,
274,46,1788_Brug_Wall,Kaemer,O,
275,46,1788_Brug_Wall,van,O,
276,46,1788_Brug_Wall,Commercie,O,
277,46,1788_Brug_Wall,(,O,
278,46,1788_Brug_Wall,3,O,
279,46,1788_Brug_Wall,),O,
280,46,1788_Brug_Wall,",",O,
281,46,1788_Brug_Wall,gedagvaert,O,
282,46,1788_Brug_Wall,ende,O,
283,46,1788_Brug_Wall,opgeropen,O,
284,46,1788_Brug_Wall,wordt,O,
285,46,1788_Brug_Wall,tegens,O,
286,46,1788_Brug_Wall,den,O,
287,46,1788_Brug_Wall,25,O,
288,46,1788_Brug_Wall,januarij,O,
289,46,1788_Brug_Wall,in,O,
